Mon:12:46:44, Humidity: 47.62, Temp: 74.66, TVOC: 15.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.445 ppm, 1.46, 0.45, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
Mon:12:46:45, Humidity: 47.62, Temp: 74.62, TVOC: 5.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.09, 0.29, 0.51, 0.16, 0.20, 4.92
Mon:12:46:46, Humidity: 47.63, Temp: 74.62, TVOC: 6.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:46:47, Humidity: 47.64, Temp: 74.60, TVOC: 2.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.09, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:50, Humidity: 47.64, Temp: 74.66, TVOC: 9.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.444 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:50, Humidity: 47.64, Temp: 74.66, TVOC: 9.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.08, 0.29, 0.51, 0.16, 0.20, 5.00
Mon:12:46:51, Humidity: 47.65, Temp: 74.62, TVOC: 5.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.84
Mon:12:46:52, Humidity: 47.65, Temp: 74.60, TVOC: 4.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.08, 0.28, 0.51, 0.16, 0.20, 4.92
Mon:12:46:53, Humidity: 47.63, Temp: 74.60, TVOC: 9.00 ppb, eCOtwo: 425.00 ppm, HCHO: 0.444 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.88
Mon:12:46:55, Humidity: 47.66, Temp: 74.64, TVOC: 13.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:55, Humidity: 47.66, Temp: 74.62, TVOC: 13.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.444 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.92
